Nature,Fonction,Montant
1068,01,"50 277 706,52 €"
1641,01,"10 000 000,00 €"
16311,01,"0,00 €"
16449,01,"19 500 000,00 €"
16871,01,
10222,01,"19 298 291,90 €"
1332,221,
1324,621,
1321,72,
