Nature,Fonction,Montant,,
64131,566,"289 991,21 €",,
6451,566,"665 538,11 €",,
6453,566,"1 246 076,44 €",,
65171,567,"206 403 239,47 €",,
65172,567,"29 966 370,69 €",,
6541,568,"500 036,74",,
673,568,"100 265,83",,
6251,60,"528 411,84 €",,
64111,60,"256 279,05 €",,
6453,60,"107 707,17 €",,
615221,61,"335 000,00 €",,
617,61,"141 528,79 €",,
64111,61,"441 948,46 €",,
64118,61,"131 841,19 €",,
6453,61,"144 830,01 €",,
6561,61,"783 402,00 €",,
6568,61,"154 189,60 €",,
65737,61,"307 386,00 €",,
60633,6221,"1 009 753,93 €",,
615231,6221,"7 077 328,54 €",,
64111,6221,"10 392 506,44 €",,
64118,6221,"3 064 857,95 €",,
6451,6221,"1 682 340,84 €",,
6453,6221,"3 531 687,24 €",,
65541,63,"277 268,00 €",,
64111,64,"455 545,52 €",,
64118,64,"128 799,84 €",,
64131,64,"104 805,20 €",,
6453,64,"152 077,75 €",,
6061,68,"39 921,09 €",,
62268,68,"81 750,00 €",,
64111,68,"85 530,21 €",,
64131,68,"144 837,12 €",,
6451,68,"53 408,54 €",,
615221,70,"203 015,18 €",,
64111,70,"4 973 439,23 €",,
64118,70,"1 300 502,08 €",,
6451,70,"897 641,76 €",,
6453,70,"1 661 841,52 €",,
6574,70,"588 374,29 €",,
6411,71,"378 274,43 €",,
6453,71,"123 725,54 €",,
64118,71,"78 576,20 €",,
6451,71,"67 799,23 €",,
6411,72,"1 422 766,07",,
64118,72,"345 326,05 €",,
64131,72,"248 730,30 €",,
6451,72,"291 967,92 €",,
6453,72,"476 695,40 €",,
6556,72,"3 140 635,00 €",,
615228,738,"247 948,87 €",,
64111,738,"3 643 308,13 €",,
64118,738,"912 759,07 €",,
64131,738,"455 171,92 €",,
6451,738,"693 426,36 €",,
6453,738,"1 202 232,60 €",,
6561,738,"1 025 980,00 €",,
678,738,"560 625,12 €",,
7398,738,"1 708 647,35 €",,
6561,74,"80 000,00 €",,
65737,74,"161 595,00 €",,
6574,74,"64 156,52 €",,
64111,80,"147 389,92",,
64118,80,"33 818,55",,
6453,80,"47 551,82",,
6561,90,"2 744 000,0",,
64111,91,"191 076,39",,
6574,91,"508 374,1",,
65736,91,"76 522,80",,
64111,921,"653 574,08 €",,
64118,921,"180 176,94 €",,
6451,921,"112 664,45 €",,
6453,921,"214 326,77 €",,
65821,921,"872 512,00 €",,
6288,928,"134 972,46 €",,
64111,928,"477 563,06 €",,
64118,928,"135 569,60 €",,
6453,928,"156 342,97 €",,
65738,928,"300 842,80 €",,
6574,928,"1 092 399,94 €",,
6745,928,"692 976,70 €",,
64111,94,"357 181,26 €",,
6453,94,"115 581,31 €",,
6561,94,"660 389,00 €",,
6574,94,"4 147 029,00 €",,
