id,text
D,
R,
RF,
RF.1,
RF.1.1,
RF.1.2,
RF.1.3,
RF.1.4,
RF.2,
RF.2.1,
RF.2.2,
RF.3,
RF.4,
RF.4.1,
RF.4.2,
RF.4.3,
RF.4.4,
RF.5,
RF.5.1,
RF.5.2,
RF.5.3,
RF.5.4,
RF.5.5,
RF.5.6,
RF.6,
RF.6.1,
RF.6.2,
RF.6.3,
RF.6.4,
RF.6.5,
RF.6.6,
RF.7,
RF.7.1,
RF.7.2,
RF.7.3,
RF.8,
RF.8.1,
,
RF.9,
RF.9.1,
RF.9.2,
RF.9.3,
RF.9.4,
RF.9.5,
RF.9.6,
RF.9.7,
RF.9.8,
DF,
DF.1,
DF.1.1,
DF.1.1.1,
DF.1.1.2,
DF.1.1.3,
DF.1.2,
DF.1.3,
DF.1.4,
DF.1.5,
DF.1.6,
DF.1.7,
DF.1.7.1,
DF.1.7.2,
DF.2,
DF.2.1,
DF.2.2,
DF.2.3,
DF.2.4,
DF.2.5,
DF.3,
DF.3.1,
DF.3.2,
DF.3.3,
DF.3.4,
DF.3.5,
DF.3.6,
DF.3.7,
DF.3.7.1,
DF.3.7.2,
DF.3.7.3,
DF.4,
DF.5,
DF.5.1,
DF.6,
DF.6.1,
DF.6.1.1,
DF.6.1.2,
DF.6.1.3,
DF.6.1.4,
DF.6.2,
DF.6.3,
DF.6.3.1,
DF.6.3.2,
DF.6.3.3,
DF.6.4,
DF.6.5,
DF.7,
RI,
RI.1,
RI.2,
RI.3,
RI.4,
RI.5,
RI.6,
RI.7,
RI.EM,
RI.EM.1,
RI.EM.2,
,
DI,
,
DI.1,
DI.1.1,
DI.1.2,
DI.1.3,
DI.1.4,
DI.1.5,
,
DI.2,
DI.2.1,
DI.2.2,
DI.2.3,
DI.2.4,
DI.2.5,
DI.2.6,
,
DI.EM,
DI.EM.1,
DI.EM.2,
DI.EM.3,
,
REAM.OCLT,
"REAM.OCLT.1
",
REAM.OCLT.2,
EXC,
